,clifford_primitive,single_gate_primitive
0,c1,['wait']
1,c2,"['y', 'x']"
2,c3,"['xxx', 'yyy']"
3,c4,['xx']
4,c5,"['yyy', 'xxx']"
5,c6,"['x', 'yyy']"
6,c7,['yy']
7,c8,"['yyy', 'x']"
8,c9,"['x', 'y']"
9,c10,"['xx', 'yy']"
10,c11,"['x', 'yyy']"
11,c12,"['xxx', 'y']"
12,c13,"['y', 'xx']"
13,c14,['xxx']
14,c15,"['x', 'yyy', 'xxx']"
15,c16,['yyy']
16,c17,['x']
17,c18,"['x', 'y', 'x']"
18,c19,"['yyy', 'xx']"
19,c20,"['x', 'yy']"
20,c21,"['x', 'yyy', 'x']"
21,c22,['y']
22,c23,"['xxx', 'yy']"
23,c24,"['x', 'y', 'xxx']"
